etd_file_id,advisor,author,degree,program,title,university,year,text
30,richard s. bear,"wyckoff, harold w",ph.d.,biology,x-ray diffraction analysis of the structure of deoxyribonucleic acid,massachusetts institute of technology,1955,"['2 38 ABSTRACT X-RAY DIFFRACTION ANALYSIS OF THE STRUCTURE OF DEOXYRIBONUCLEIO ACID by Harold Winfield Wyckoff Submitted to the Department of Biology on June 6, 1955 in partial fulfillment of the requirements for the degree Doctor of Philosophy, Three distinct types of X-ray diffraction pattern were obtained from DNA isolated from calf thymus by the Schwander-Signer method. One of these, obtained with the specimen immersed in 85 per cent ethanol, was indistinguishable from the patterns in the literature of type A. A pattern (designated B3) similar to the B pattern of the literature but exhibiting much more detail was obtained with the specimen immersed in 70 per cent ethanol and held under mild tension. The axial repeat period was 34.2 A and the spacing between helix axes (in a hexagonal array) was 25.2 A. A lattice containing a frequent quantized defect was derived. A pattern (designated B2) resembling the B pattern more closely than the A pattern was obtained from DNA immersed in 85 per cent ethanol and stretched 55 per cent. The axial repeat period was 32.5 A. The specimen was crystalline. Mechanical and optical studies were used to correlate the A to B2 transition observed by X-ray diffraction with the mechanical and optical studies in the literature. Completely reversible 2 fold elongation was observed. A molecular model for DNA in the B3 form was derived. It is in substantially `better agreement with the X-ray data than the Watson and R Crick model. The basic assumptions of the latter are maintained. It was necessary to hypothesize a new configuration for the deoxyribose. In the model the two backbone chains are helically arranged outside the base pairs with 10 residues per 34 A turn. The phosphorus atoms are located on helices of 9.9 A radius axially displaced from each other by 0.4412 turns, The centers of all of the atoms of the base pair (except two hydrogens) are ithin 5.1 A of the axis. Many aids to analysis were developed that will be of use in any structure determination involving nucleic acid, including refinement of optical diffraction technique and instrunentation, a method for taking the water of hydration into account by modifying the weights of the atoms of the main structure, simplification and graphical representation of the diffraction equations, and design of a three dimensional model kit. X-ray difiraction patterns were obtained from DNA stained with acridine orange that exhibited the same type of lattice as that derived for the B3 pattern. The axial repeat was 34 A and the distance between helix axes was 21.4 A. A plausible type of structure was derived for the complex and correlated with the results of com- plexing studies carried out in dilute solution. Denaturation vastly 3 changed the complexing in solution, The results of spectroscopic studies on the complexing of acri- flavine and MgCl2 are reported and data concerning the ""solubility"" of DNA in alcoholic solutions is presented. Thesis Supervisor: Richard S. Bear Title: Professor of Biophyical Chemistry']"
31,l. b. anderson,"scott, norman keith",m.arch.,architecture,toward a new architecture for industry,massachusetts institute of technology,1955,
32,richard c. lord,"wilmot, george barwick",ph.d.,chemistry,the raman spectra and structure of silica and the soda-silica glasses,massachusetts institute of technology,1955,"['38 Abstract The Raman Spectra and Structure of Silica and the Soda-Silica Glasses by George B. Wilmot Submitted to the Department of Chemistry on November 12, 1954 in partial fulfillment of the requirements for the degree of Doctor of Philosophy The Raman spectra of x -quartz, vitreous silica and a series of soda-silica glasses from 9 to 44 mole percent Na20 were studied. Quantitative photographic intensity measurements were made. These permitted a comparison of the total intensity of the Raman scattering of quartz with that of vitreous silica, and a study of the band intensities in the glasses as a function of composition. The inter- pretation of the Raman spectrum of quartz differed little from those given in the literature. Frequency and in- tensity distributions in the spectrum of vitreous silica were found to be different from those in the quartz spectrum at frequencies below 500 cm-1. However the total in- tensities of the Raman scattering of the two substances were of the same order. The continuum found in the Raman spectrum of vitreous silica in the range 100 - 500 cm-1 was interpreted to indicate that any microscopic order cannot extend over dimensions larger than a few times the unit-cell size of quartz. it it In the spectra of the soda-silica glasses, the bands associated with the three-dimensional silica network (as found in vitreous silica) decreased progressively in intensity with increasing soda content. Conversely bands associated with various kinds of Si-0- linkages progressively increased in intensity. Frequencies have been assigned to stretching and bending modes of the Si-0- groups. Agreement between the Raman frequencies of the soda-silica glasses and the published infrared frequencies is rather poor. It is not apparent whether this disparity is due to experimental causes or has a more fundamental origin such as pseudo-symmetry which causes strongly Raman-active modes of vibration to be weak in the infrared and vice versa. Thesis Supervisor: Richard C. Lord Title: Professor of Chemistry This thesis has been examined by : 1. 2. 3, 4 Chairman 5 Thesis Supervisor']"
33,uno ingard,"lyon, richard h",ph.d.,physics,the response of continuous systems to random noise fields,massachusetts institute of technology,1955,"['-i- THE RESPONSE OF CONTINUOUS SYSTEMS TO RANDOM NOISE FIELDS by Richard H. Lyon Submitted to the Department of Physics on May 16, 1955, in partial ful- fillment of the requirements for the degree of Doctor of Philosophy. ABSTRACT In this work we are concerned with the excitation of continuous systems by random noise fields. The excitation is interpreted as the average or mean square displacement, velocity, etc., and is obtained from a knowledge of certain statistical properties of the source. The thesis begins with an historical account of the developing use of the equation of motion with random source terms, the so-called Lan- gevin equation. This equation is then used to calculate the corrolation functions for the system response when correlations of the same order of the source are specified. The formalism is then applied to the finite string for both sta- tionary and moving noise fields. It is found that correlation lengths due to the source and viscosity of the surrounding medium strongly affect the excitation for various wavelengths. As an experimental test a thin metal ribbon is placed in a flowing turbulent field, and its excitation for various values of flow is examined. A qualitative agreement with the predicted results is obtained. The analysis is then applied to infinite strings where the inter- pretation is uncomplicated by the effect of boundaries. Substantially similar results as for the finite string are obtained. If one observes -ii- the excitation of the string as a functinn of wavelength, the effect of corrolation lengths in the noise field is wery striking. The thesis is concluded by an attempt to create the random noise fields assumed previously by a superposition of elementary sources. This superposition creates an ensemble of source functions which may then be averaged over to obtain the source correlation. An attempt to create a representation of the turbulent field by this method completes the work. Thesis Supervisor: Dr. K. U. Ingard Title: Assistant Professor of Physics']"
34,,"coughlin, robert edward",m.c.p.,city and regional planning,the community costs resulting from growth,massachusetts institute of technology,1955,"['ABSTRACT This study of the community costs resulting from growth is an attempt to develop from the basic approach of Schussheim more general theoretical models relating several variables affecting the growth of towns and to treat their requirements for community facilitiesand services with more generalized cost data than has been applied in earlier studies. The models developed treat explicitly density and pattern of growth for residential development. They also provide for industrial and local commeroial development. Space requirements and requirements for municipal facilities are taken from planning and engineering standards and from current experience. The cost data for specific facilities and services are taken from the experience of many cities and towns, and are developed in the light of theoretical and engineering knowledge. Particular attempt is made to distinguish among levels of service provided and to discover economies or diseconomies of scale in providing various municipal services. Yearly costs are computed for several theoretical models for key years throughout the period of growth. All capital and operating costs incurred in the developing area are analyzed, but the analysis does not treat specifically the costs of facilities in the center of town which must be expanded because of the more intensive activity associated with the new growth. Nor does it treat the effect on community costs of the existence of public facilities in the developing area which can serve the new growth. Cost analysis of the theoretical models shows that density has a major effect on costs but its effect is not as great as that of the level of service provided. With the same complement and standard of service, low density growth always costs more than high density growth. However, at. low densities some services can be eliminated without harm to the town (e.g. public sanitary sewers). When these services are not provided, costs of low density development drop below costs for fully serviced medium density developments. In all models, but especially in jump growth models, the cost per capita decreases as the development proceeds. Thesis Supervisor']"
35,d.n. wormley,"jeffcoat, robert lee",ph.d.,mechanical engineering,lateral dynamics and control of rail vehicles,massachusetts institute of technology,1975,"['-2- LATERAL DYNAMICS AND CONTROL OF RAIL VEHICLES by Robert Lee Jeffcoat Submitted to the Department of Mechanical Engineering on September 30, 1974, in partial fulfillment of the requirements for the degree of Doctor of Philosophy. . ABSTRACT An analytical investigation of the lateral dynamic behavior of two-truck railway vehicles using steel wheels and steel rails is described. Measures used to assess dynamic performance are maximum stable operating speed and, for a specified rail roughness input, power spectral density of lateral acceleration in the passenger compartment (ride quality) and the RMS lateral tracking error. Static suspension performance is measured by the lateral tracking error produced by steady curving. Linear, lumped-parameter models are used to represent the carbody and trucks. Trucks are modelled as rigid in the plane of the rails. Two models for the carbody are employed: a rigid body with translational and yaw freedom and with a truck at each end, and a translational mass with no yaw freedom and a single truck. The latter model is simpler, and is shown to be a useful approximation to the former in predicting the influence of suspension parameters. Inclusion of yaw freedom introduces further vibrational modes of the carbody which can reduce ride quality or cause instability. Vehicles with conventional rigid trucks, having opposite wheels connectéd by rigid axles, are subject to lightly damped lateral oscillations (""hunting"") which may become unstable even at low speeds. The effects of various suspension parameters on hunting are discussed. An automatic controller is defined to supplement the action of the secondary suspension. Two special cases of the general controller (active steering, and asymmetry in the passive suspension) are examined in detail and both shown to be capable of improving all three measures of dynamic performance significantly; both, however, can degrade steady curving ability. The use of rigid trucks with independently rotating wheels, ground to a concave tread profile to provide guidance, is evaluated and found to be highly beneficial in improving ride quality, and to eliminate the cause of hunting instability. Such trucks exhibit less tracking error due to steady curving at low speeds than do conventional trucks, but more at high speeds. Thesis Supervisor: David N. Wormley Title: Associate Professor of Mechanical Engineering']"
36,woodie flowers,"bott, eric herschler",b.s.,mechanical engineering,hydraulic damper design for a knee prosthesis,massachusetts institute of technology,1975,"['2 HYDRAULIC DAMPER DESIGN FOR A KNEE PRUSTHESIS by Eric Hershler Bott Submitted in Partial Fulfillment of the Requirements for the Degree of Bachelor of Science, February 23, 1975. ABSTRACT Damping characteristics for the optimum performance of various tasks by the users of knee-leg prostheses are found to be incompatible, which indicates an ultimate need for a damping mechanism which is controlled by the amputee rather than by a state function of a specific task (e.g. cyclical muscle-firing in the stump, or weight bearing of the prosthe- sis, during the walking cycle.) A damping mechanism which will be utilized in a proto- type knee joint to experimentally determine optimum damping characteristics for all phases of the walking cycle and other functions (stairway and ramp negotiation, controlled sitting and kneeling, etc. ) has been designed. Overriding design considerations have been found to be : Damping range from full joint lock to full joint freedom, dynamic response over the damping range to 30 Hz, low power consumption by the actua- tion mechanism, and adaptability to a light weight, low bulk production design. Hydraulic damping, and historical design of prosthetic knees is discussed. The force-balanced poppet 3 valve is introduced, and the prototype valve and actuator design is presented. The prototype double poppet valve design is found to exhibit excellent properties for use in above knee (A/K) prosthetics, but the actuator design does not meet the res- ponse criterion. An improved design, founded on the know- ledge gained from experimentation with the prototype, and which it is believed will meet the original design criteria, is offered.']"
37,david n. wormley,"azuma, alberto",m.s.,mechanical engineering,modeling and simulation of a steam power station,massachusetts institute of technology,1975,"['-2- MODELING AND SIMULATION OF A STEAM POWER STATION by ALBERTO AZUMA Submitted to the Department of Mechanical Engineering on August 11, 1975, in partial fulfillment of the requirements for the Degree of Master of Science in Mechanical Engineering. ABSTRACT A fifth-order curbine-governor and a third-order oil-firing boiler model for a steam power plant are developed and combined into a complete plant model. A classical PID controller and an Optimal Integral Controller are applied to the plant model, and the results are compared for two different load levels and different kinds of disturbances. Special attention is given to the turbine throttle pressure behaviour and to the overshoot in firing intensity follow- ing the disturbances. The suitability of Optimal Integral Controller has been demonstrated. The final model and control system can be used for dynamic stability studies of large interconnected systems. Thesis Supervisor: Professor D. N. Wormley Title: Associate Professor of Mechanical Engineering']"
38,d.e. whitney,"maizza neto, octavio",ph.d.,mechanical engineering,modal analysis and control of flexible manipulator arms,massachusetts institute of technology,1975,"['2 MODAL ANALYSIS AND CONTROL OF FLEXIBLE MANIPULATOR ARMS Octavio Maizza Neto Submitted to the Department of Mechanical Engineering on September 10, 1974 in partial fulfillment of the requirements for the Degree of Doctor of Philosophy ABSTRACT This study examines the possibility of modeling and control of flexible manipulator arms. A modal approach is used throughout the work for obtaining the mathematical model and control techniques applied. The arm model is represented mathematically by a state space description de- fined in terms of joint angles and mode amplitudes obtained from trunc- ation on the distributed systems, and includes the motion of a two link two joint arm. The problem of controlling the system is examined via the linearized model and using a regulator type of control. Three basic techniques are used for this purpose: pole allocation with gains obtained from the rigid system with interjoint feedbacks, Simon-Mitter algorithm for pole allo- cation and sensitivity analysis with respect to parameter variations. An improvement in arm bandwidth is obtained that could replace more con- servative designs currently in use. Optimization of some geometric parameters is undertaken in order to maximize bandwidth for various payload sizes and programmed tasks. The controlled system is examined under constant gains and using the nonlinear model for simulations following a time varying state trajectory. The procedure presented in this work is general and can be implemented to be used in more specific designs. THESIS SUPERVISOR: Professor Daniel E. Whitney TITLE: Associate Professor of Mechanical Engineering']"
39,k. hoffman,"shiman, leon gardner",ph.d.,mathematics,grammar for vision,massachusetts institute of technology,1975,"['2 GRAMMAR FOR VISION by LEON GARDNER SHIMAN Submitted to the Department of Mathematics on May 2, 1975 in partial fulfillment of the requirements for the degree of Doctor of Philosophy. Abstract Our main result is a mathematical model for the study of human visual perception, which we state for perception of icons in the plane. We discuss the relation of this model to judgements about what is being perceived, and to models of visual processes which can be physically tested. We describe the main theoretical concept, stability, both for perception in general and for perception of icons. We illustrate stability by a detailed discussion of a collection of photographs. We develop a mathematical setting in which we can define stability. We then summarize in the stability hypothesis the relation we conjecture exists between the mathematical expression and the underlying intuition of stability. We give a simple computational tool for applying these abstract mathematical structures directly to the study of perception of icons. We point out that our results are consistent with the views of visual artists, they yield a non-trivial classification of types of visual ambiguity, account for a large number of standard ""visual illusions"", and reveal how to construct many more. We conclude with a new definition of ""grammar"" which summarizes our underlying methodological considerations. Thesis Supervisor: Kenneth Hoffman Title: Professor of Mathematics']"
40,i. halasz,"hayes, steven coburn",m.arch.,architecture,air rights development of urban transit corridors,massachusetts institute of technology,1975,"['2 ABSTRACT AIR RIGHTS DEVELOPMENT OF URBAN TRANSIT CORRIDORS by Steven C. Hayes Submitted in partial fulfillment of the requirements for the Degree of Master of Architecture The primary purpose of this thesis is to ex- amine the air rights over urban transit corridors, their current effect on the urban context, and, through the design process, their potential for de- velopment. Thesis Supervisor: Imre Halasz']"
41,eduardo catalano,"soupcoff, william harold",m.arch.a.s.,architecture,housing : box and panel,massachusetts institute of technology,1975,
42,stanford anderson,"cylkowski, david",m.arch.,architecture,an additive approach to the design of urban paths and edges,massachusetts institute of technology,1975,"['-2- ABSTRACT An Additive Approach to the Design of Urban Paths and Edges by David Cylkowski Submitted to the Department of Architecture on May 13, 1975, in partial fullfillment of the requirements for the degree of Master of Architecture, The quality of public or shared space is something which has long been ignored in our environment. We design privacies and what is left over becomes public space, This thesis questions that attitude and suggests that public space be designed a,s a meaningful place for various kinds of positive communal activities, In a section of introductory observations two key issues which make a large contribution to the lack of quality in our public space are discussed. First, there is the mutually exclusive attitude we have toward the realms of public and private, Second, there is the effect of the auto- mobile on small and large scale environmental organization. Comparisons with Italian hill towns are made pointing to correlation between use and physical form. A type of urban organization which stresses high density, low rise pri- vacies, àctive walkways, neighborhoods and mixed use is suggested, Overlap- ping definitions of public and private space are suggested together with an attitude toward public space that it function simultaneously as a path and a place. A context of roadways, patterns of use, and major pedestrian direc- tions is set up on a large scale. At smaller scales an additive vocabulary of edge conditions, privacies, ground level changes, and roadway to walkway relationships is devised to make projections of the nature of the formal implications of this thesis. Public-private edges are defined reciprocally. The public space is defined positively by configurations of private edges, At the smallest scale a vocabulary of stairs, gardens, landings and entrances is developed to state more specifically the nature of implied public-private relationships. The central point of this thesis is to draw attention to the connection between the way a projected environment is to be used and the need to develop a vocabulary of additive form to concretize these patterns of use. Thesis Supervisor: Stanford 0. Anderson Title: Professor of Architecture and History']"
43,edward allen,"loftness, vivian ellen",m.arch.,architecture,natural forces and the craft of building : site reconnaissance,massachusetts institute of technology,1975,"['00002 ABSTRACT NATURAL FORCES AND THE CRAFT OF BUILDING: SITE RECONNAISSANCE by Vivian Ellen Loftness Submitted to the Department of Architecture on the 16th of May 1975, in partial fulfillment of the requirements for the degree of Master of Architecture. Architecture must be conciousl and precisely designed to integrate the life of its occupants with the cycles of nature. This thesis is a collection of information on the natural microclimate which exists on the untouched land, and that which could predominate by intervention and design. An understancing of site potentials and limitations involves: first the survey of local climate elements, second the evaluation of each climatic impact in physiological terms, and third the development of a design response for each microclimate condition. Field reconnaissance gives an invaluable overall picture to the designer, enabling him to design with respect for the site What is proposed here is a method, an index, for reestablishing in built form, a more delicate exchange between man and nature. The information is organized and presented in such a way that the thesis may be used as a handbook by the architect, engineer, contractor, or homeowner who is interested in making more sympathetic and creative use of a building site. Thesis Supervisor: Prof. Edward Allen Position: Professor of Architecture, M.I.T.']"
44,d. b. broughton,"neuhaus, sanford j",s.b.,chemical engineering,the corrosion of steel in saline solutions of hydrogen sulfide,massachusetts institute of technology,1945,
45,john chipman,"chen, xinmin",sc.d.,metallurgy,the chromium-oxygen-hydrogen equilibrium in liquid iron,massachusetts institute of technology,1945,"[""ABSTRACT Chromium is one of the most important alloying elements used in steel. The knowledge of its behavior in molten iron has long been de- sired. Data obtained in industrial operating furnaces involve many variables, and have been of little help in establishing equilibria re- lationships. The present investigation has been undertaken to study the fundamental physico-chemical behavior of chromium in liquid iron under various oxidizing and reducing conditions. To avoid contemination with foreign oxides, chromite and chromic oxide crucibles have been used as containers. A slip-casting method for the manufacture of crucibles from chromic oxide has been success- fully developed. The firing was done at 1430° C in a graphite crucible in a high frequency induction furnace, followed by heating to 1500° C in a globar tube furnace to remove the carbon. It has been found im- possible to get good results by firing in air. The removal of carbon is necessary because it causes excessive porosity of the ingot. During the course of the equilibrium investigation, more than 100 experimental heats have been made at 1595° C + 5° in a high frequency induction furnace under water vapor - hydrogen atmospheres of known compositions. The charge consisted of mixtures of electrolytic iron and electrolytic chromium. Due to film formation on the surface of the melt, equilibria could not be reached from the high chromium side. Some heats, however, have been made with the composition of the charges virtually in equilibrium with the gas compositions to assure that equi- - 2 - libria have been attained. The range of chromium concentration studied was from o to 21.4 percent, and that of the ratio of water vapor and hydrogen in the gas mixture from 1.00 to 0.025. The apparatus for adjusting the gas composition has been carefully tested and found to be satisfactory. A special furnace head of pyrex glass with molten Wood's metal seal has been designed and constructed. A preheater of platinum wire has been used to avoid thermal diffusion of the gas mixture. The results of preliminary runs on the hydrogen- oxygen equilibrium in liquid iron have been checked with previous re- ports of other investigators. Non-metallic crusts have been found in many of the ingots. There were two varieties. By nicroscopic and X-ray diffraction methods one has been identified as the iron chromite, FeO.Cr203, found in ingots containing less than 5 percent of chromium, and the other the chromic oxide, Cr203, found in ingots containing more than 7 percent of chron ivm. From these facts and the study of the equilibrium data, it has been established that iron chromite, or chromic oxide, is the stable solid phase in equilibrium with the liquid iron phase and the water vapor - hydrogen gas phase, when the concentration of chromium in the liquid iron is under or above 5.5 percent and the water vapor - hydrogen ratio is above or below 0.07 respectively. It has been confirmed that iron-chromium alloy in liquid state obeys the ideal solution law; that is, the activity of chromium is al- ways proportional to its concentration, up to at least 21.4 percent of chromium. - 3 - The reactions studied and the values obtained for the equilibrium constant and the standard free energy changes at 1595° C are shown be- low. (1) When chromite is the stable solid phase: FeO-Cr203 (s) + 4H2 (g) = 4H20 (g) + Fe (1) + 2Cr (in Fe) Cr)2 = 7.23 x F° = 26840 cal. (2) When chromic oxide is the stable solid phase: Cr203 (s) + 3H2 (g) = 3H20 (g) + 2Cr (in Fe) = 3 (% Cr) 2 = 1.036 x 10-2 The equilibrium constant of reaction (2) checks very well with (34) that calculated from Maier's equation of free energy change for the reaction Cr203 (s) + 3H2 (g) = 2Cr (s) + 3H20 (g) (36) and Chipman's equation for the reaction Cr (s) = Cr (in Fe) Using Maier's heat data and the value of standard free energy change obtained in this investigation, it has been possible to derive the free energy equations for the following reactions at the steelmak- ing temperatures. Cr203 (s) + 3H2 (g) = 3H20 (g) + 2Cr (in Fe) 1Fo = 93170 - 40.75T - 4 - And 2Cr (s) = Cr203 (s) AF° = -265,010 + 60.32T AH = -265,010 cal. As = -60.32 e.u. The oxygen content in the melt has been found to decrease first and then increase with an increasing chromium content. The minimum oxygen content has been found to be about .029 percent when the chrom- ium content is 6 percent. By defining the activity of oxygen in the melt as equal to the weight percent of oxygen in a pure iron melt in equilibrium with the same gas atmosphere, the activity coefficients, fo = activity/weight percent, have been calculated and found to de- crease very rapidly with increasing chromium content, from 1.00 at o percent to 0.13 at 20 percent of chromium. This effect of chromium on the activity of oxygen might be explained by the assumption of dis- solved chromium oxide in one form or another. This also shows that chromium can never be a good deoxidizer, and that no reliable equilib- rium data could be found accurately from chromium and oxygen analyses.""]"
46,prof. anderson,"gangnes, arnold g. (arnold gordon), 1918-",m.arch.,architecture,a study of a railroad terminal for seattle,massachusetts institute of technology,1946,
47,arthur t. ippen,"stone, archie allan",m.s.,civil and environmental engineering,theoretical investigation of standing waves in hydraulic structures,massachusetts institute of technology,1946,
48,john a. hrones,"newton, richard y",m.s.,mechanical engineering,design of dynamic analyzer,massachusetts institute of technology,1946,
49,raphael salem,"crandall, stephen h",ph.d.,mathematics,on the fourier series of the square of a function,massachusetts institute of technology,1946,"['(i) Abstract The problem set in this paper was that of finding restric- tions on a function which were to be sufficient to insure the convergence of the Fourier series of the square of the function whenever the Fourier series for the function itself converged. It is known that whenever the Fourier series of a function is (1) absolutely convergent the Fourier series of the square of the function also converges absolutely which is itself a positive result of the type desired. The interest of this investigation lies in the fact that the convergence of the Fourier series of the function is of itself not enough to insure the convergence of the Fourier series for the square of the function. In fact, (2) R. Salem has exhibited a continuous periodic function whose Fourier series converges uniformly everywhere but yet the Fourier series for the square of this function diverges at an everywhere dense set of points. In this paper the author proves two theorems, the first dealing with the situation at a single point, while the second is an extension of the first throughout an interval. In both cases the convergence of the Fourier series of the function together with the fact that the Fourier coefficients of the function are o(7) insure the convergence of the Fourier series of the square of the function. This hypothesis is obviously less stringent than that of absolute convergence, nevertheless (1) Wiener, Levy, p.140, Trigonometric Series, Zygmund. (2) ""A Singularity of the Fourier Series of Continuous Functions"" Duke Mathematical Journal, 4, 10(1943). (ii) there is still considerable uncharted land between these series and those of Salem\'s exemples which have terms log n . The main theorems have been stated and proved for Fourier series but the author points out they are also true for power series on the circle of convergence.']"
50,,"maack, viggo e",b.s.,naval architecture and marine engineering,trawler design,massachusetts institute of technology,1947,
51,,"holmes , james a .",educat.d.,marketing,"formatting variables and typeface variations of dot-matrix print and their effect on reading comprehension and reading speed ( type , readability , computer , legibility )",virginia polytechnic institute and state university,1986,"['FORMATTING VARIABLES AND TYPEFACE VARIATIONS OF DOT-MATRIX PRINT AND THEIR EFFECT ON READING COMPREHENSION AND READING SPEED by James A. Holmes Committee Co-Chairmen: E. Allen Bame and Mark E. Sanders Vocational-Technical - Education (ABSTRACT) The purpose of this study was to determine whether three typeface variations of dot matrix print [single density, dual density, and photocopied dot matrix type] and two formatting variations [fully justified and left justified] had any effect on the reading rates or reading comprehension of college students when compared to the same typewritten material. A pretest/posttest design with experimental and control groups utilized the Cloze Reading Test and the Nelson Denny Reading Test to measure reading comprehension and reading rates respectively to college students IN= 240]. Subjects were randomly assigned to the groups to test the effects of the six treatment levels and two control groups of the independent variables [typefaces and type formatting] on the dependent variables [reading comprehension and reading ratel. Four test sessions were used to collect the data and answer the research question: Do either of the three typeface variations of dot matrix print or the two formatting variables have any effect on reading comprehension or reading rates of the subjects when compared to typewriter type? A factorial analysis of covariance [p. & .05] was used to analyze reading comprehension; and a two way analysis of variance [p. < .051 was used to analyze reading rates. The findings indicated that typefaces or formatting made no significant difference in the reading rate or reading comprehension scores of the subjects tested.']"
52,,"cotter , henry van tuyl",educat.d.,special education,"a comparison of the efficiency and effectiveness of two models for determining the cost of special education programs ( virginia , finance , evaluation )",virginia polytechnic institute and state university,1986,"[""A COMPARISON OF THE EFFICIENCY AND EFFECTIVENESS OF TWO MODELS FOR DETERMINING THE COST OF SPECIAL EDUCATION PROGRAMS by Kenneth L. Kienas Committee Chairmen: Dr. Philip Jones & Dr. Richard Salmon Special Education Administration (Abstract) Providing services to handicapped children is more expensive than educating nonhandicapped children. Previous studies have estimated the cost of special education to be approximately twice that of regular education. However, these studies have produced a number of problems in providing accurate cost data including a lack of data at the local level to make meaningful determinations, difficulties in treating shared and indirect costs, problems in making cost comparisons across districts, and variances in the cost of resources over time. This study evaluated the Larson (1985) model, a new methodology for calculating special education program costs, by comparing it to the Rossmiller (1970) model, a widely used method for calculating special education program costs. Judgments were made by comparing the efficiency and effectiveness of each model to the other. Efficiency was appraised by comparing input and process considerations in computing special education program costs in a select school district in Virginia. Effectiveness was appraised by comparing each model's ability to produce comprehensive and accurate special education program costs from the sample school district. Findings indicated that the Larson model had several advantages over the Rossmiller model. First, the Larson model was more efficient as less information from the regular budget was needed to complete indirect cost calculations. Second, the Larson model was more efficient in dealing with shared costs as they could be prorated through the use of a multiplier. Third, the Larson model was considered more accurate in its treatment of related services costs. However, several qualifications needed to be made in judging the Larson model as a better product over the Rossmiller model. Conducting a cost determination was a lengthy process no matter which model was used and is more dependent upon the availability of data in a school district than the model used. Also, both models tended to produce similar cost figures when related services costs were taken into account.""]"
